id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
terrausd,ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,1.0,8522383405,24,,197688359.0,1.01,0.992583,-0.002016343979,-0.20103,137258060.0,1.63692,8518060432.50557,8517758218.27957,,1.09,-8.35061,2021-01-11T22:30:57.984Z,0.857992,16.63583,2021-05-19T13:14:26.898Z,,2021-12-09T09:13:49.562Z,0.4175683232192661,-0.201034022278321,,,
uniswap,uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,17.35,7858431023,25,17348566686.0,291573914.0,18.76,17.35,-0.745857529529,-4.12114,-326144549.0844183,-3.98487,452972926.5555916,1000000000.0,1000000000.0,44.92,-61.23025,2021-05-03T05:25:04.822Z,1.03,1590.45924,2020-09-17T01:20:38.214Z,,2021-12-09T09:13:57.839Z,-0.8668073302293213,-4.121135657105854,,,
axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1604471082,112.33,7409257518,26,30370777257.0,470742337.0,115.06,107.16,-0.311797401942,-0.27681,1637312.0,0.0221,65869223.99198959,270000000.0,270000000.0,164.9,-31.56093,2021-11-06T19:29:29.482Z,0.123718,91119.00581,2020-11-06T08:05:43.662Z,,2021-12-09T09:14:34.443Z,-0.9847725106073053,-0.27681357710535887,,,
stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.292468,7217722217,27,14646016916.0,637347423.0,0.307972,0.287378,-0.00886152743,-2.94081,-205669887.45977783,-2.77056,24641451854.8201,50001802489.562,50001802489.562,0.875563,-66.5298,2018-01-03T00:00:00.000Z,0.00047612,61449.7278,2015-03-05T00:00:00.000Z,,2021-12-09T09:11:45.831Z,-0.3169770078007347,-2.940807855965463,,,
okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,26.69,7010158296,28,,612599264.0,27.84,26.15,-0.581291482049,-2.13163,-121284821.58279896,-1.70071,262680011.32,300000000.0,,44.01,-39.28131,2021-05-03T01:03:16.108Z,0.580608,4501.97659,2019-01-14T00:00:00.000Z,,2021-12-09T09:13:56.088Z,-0.12964195617270768,-2.1316326914055685,,,
cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,24.41,6939186466,29,,540370960.0,25.73,23.09,0.117718,0.48456,62702676.0,0.91184,283704556.457181,,,44.42,-44.91126,2021-09-20T00:05:25.062Z,1.16,2009.40055,2020-03-13T02:27:44.591Z,,2021-12-09T09:13:58.422Z,-0.9611016604674057,0.4845603455270112,243.1152432853938,usd,24311.52432853938
compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,86.92,6832289951,30,,41688164.0,89.7,77.52,-0.769914550076,-0.87802,-102723266.07964802,-1.48123,78684962.6599334,78684962.6599334,,97.75,-10.80509,2021-11-21T12:39:57.508Z,1.89,4522.22724,2020-03-13T02:22:33.711Z,,2021-12-09T09:13:36.179Z,-0.6747904450181424,-0.87802493244556,,,
staked-ether,steth,Lido Staked Ether,https://assets.coingecko.com/coins/images/13442/large/steth_logo.png?1608607546,4283.73,6662859361,31,6662859361.0,5931436.0,4437.46,4222.4,-53.458718166643,-1.23257,-66182589.23035908,-0.98354,1555631.40320445,1555631.40320445,1555631.40320445,4829.57,-10.60452,2021-11-10T14:40:47.256Z,482.9,794.06739,2020-12-22T04:08:21.854Z,,2021-12-09T09:12:39.217Z,-1.1103286389437848,-1.2325673539096158,,,
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.091677,6137328253,32,,387656270.0,0.096605,0.089584,-0.002121525344,-2.2618,-103693235.9239521,-1.66148,66760741299.0,86712634466.0,,0.280991,-67.27172,2021-04-19T01:08:21.675Z,0.00191713,4696.93077,2020-03-13T02:29:59.652Z,,2021-12-09T09:14:23.175Z,-0.8374505269505792,-2.2618001395182805,6.388690097190222,eth,638.8690097190222
ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,42.89,5978775533,33,14385774939.0,139795370.0,44.3,41.51,-0.124084560956,-0.2885,718226.0,0.01201,139295691.31874424,335165027.385972,335165027.385972,84.18,-48.95943,2021-09-09T16:59:43.151Z,1.15,3637.19506,2019-09-06T00:00:00.000Z,,2021-12-09T09:14:23.629Z,-0.5173660102727805,-0.28849945115924713,,,
elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/elrond3_360.png?1626341589,292.03,5897638087,34,,154681533.0,307.83,273.47,3.77,1.30921,91672632.0,1.57894,20190892.0,20397843.0,,545.64,-46.46756,2021-11-23T10:33:26.737Z,6.51,4389.15491,2020-10-07T01:44:53.554Z,,2021-12-09T09:14:33.116Z,0.3423605179435062,1.3092066844965131,,,
internet-computer,icp,Internet Computer,https://assets.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1620703073,30.32,5573132639,35,14231224083.0,268114800.0,32.28,30.08,-1.942140843592,-6.02062,-348096498.0283909,-5.87879,183750197.9,469213710.0,469213710.0,700.65,-95.66635,2021-05-10T16:05:53.653Z,24.29,25.00055,2021-12-04T05:33:43.785Z,,2021-12-09T09:13:24.731Z,-0.8872540807332465,-6.020619137338237,,,
filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,40.1,5419416407,36,79059088640.0,582875163.0,41.94,39.72,-1.484076074923,-3.56877,-162135813.29208183,-2.90485,135114688.0,1971069077.0,1971069077.0,236.84,-83.03423,2021-04-01T13:29:41.564Z,20.06,100.31198,2020-12-29T22:32:28.483Z,,2021-12-09T09:14:06.172Z,-0.018502499836154214,-3.5687673287233683,,,
near,near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,9.33,5339925040,37,9319883551.0,641361723.0,9.75,7.66,1.41,17.81969,813874062.0,17.98199,572960489.313585,1000000000.0,1000000000.0,13.2,-28.88611,2021-10-26T13:09:48.238Z,0.526762,1681.70534,2020-11-04T16:09:15.137Z,,2021-12-09T09:13:20.521Z,-1.4196259953810586,17.819685140067964,,,
ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,39.71,5225502343,38,8371692197.0,1023164941.0,42.05,39.52,-1.561636171888,-3.78396,-186207361.48440742,-3.44082,131516223.685666,210700000.0,210700000.0,167.09,-76.21169,2021-05-06T18:34:22.133Z,0.615038,6362.49202,2016-07-25T00:00:00.000Z,,2021-12-09T09:14:12.899Z,-0.33292743533885355,-3.7839646299638505,87.24045432826789,usd,8724.04543282679
hedera-hashgraph,hbar,Hedera,https://assets.coingecko.com/coins/images/3688/large/hbar.png?1637045634,0.272323,5025631373,39,,63320580.0,0.288351,0.262209,-0.006839581222,-2.45003,-57683059.18858814,-1.13475,18287622674.0,50000000000.0,,0.569229,-51.51358,2021-09-15T10:40:28.318Z,0.00986111,2698.86051,2020-01-02T17:30:24.852Z,,2021-12-09T09:13:44.874Z,-2.1300952607705836,-2.45003072407417,,,
decentraland,mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745,3.8,5023723092,40,8303514365.0,847027868.0,3.87,3.59,0.02577728,0.68258,58167775.0,1.17143,1327372145.9864838,2193961227.32015,2193961227.32015,5.85,-35.59712,2021-11-25T10:04:18.534Z,0.00923681,40694.3638,2017-10-31T00:00:00.000Z,,2021-12-09T09:14:18.194Z,2.5829731370338074,0.6825835565828295,189.11027040106066,usd,18911.027040106066
the-sandbox,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1597397942,5.52,5004402578,41,16437255636.0,874607826.0,5.48,5.07,0.179176,3.35424,133171482.0,2.73384,913364619.2233225,3000000000.0,3000000000.0,8.4,-35.38274,2021-11-25T06:04:40.957Z,0.02897764,18624.01962,2020-11-04T15:59:14.441Z,,2021-12-09T09:14:36.698Z,5.013509455643417,3.354242074386694,,,
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,4.77,4775315719,42,,257586472.0,5.05,4.51,0.00682451,0.14315,9952588.0,0.20885,1000000000.0,1000000000.0,,15.72,-69.58862,2021-04-16T13:15:11.190Z,0.04039979,11733.18787,2020-03-13T02:24:16.483Z,,2021-12-09T09:13:41.483Z,0.0034582116638003876,0.14314809775766085,30.82847551308698,usd,3082.847551308698
cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02179052,4638415995,43,,4098498.0,0.02210667,0.02144889,2.105e-05,0.0967,-20246254.491858482,-0.43459,213339657088.02,213339657088.02,,0.03159087,-31.09834,2020-10-12T21:29:00.007Z,0.00728854,198.6417,2020-03-18T04:29:40.819Z,,2021-12-09T09:13:33.472Z,0.7930988508278336,0.0967017792059399,,,
tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,5.28,4600179462,44,,864870165.0,6.09,5.2,-0.17625804772,-3.23085,-132971007.0345974,-2.80936,869184685.441126,,,9.12,-41.88078,2021-10-04T00:41:18.025Z,0.350476,1411.71145,2018-12-07T00:00:00.000Z,,2021-12-09T09:14:38.145Z,-0.5630178605830631,-3.230853362381584,10.232353461518715,usd,1023.2353461518715
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016,1.56,3953134790,45,4939176935.0,362592730.0,1.64,1.52,-0.054714075569,-3.39684,-127529428.01612663,-3.12521,2541152731.01,3175000000.0,3175000000.0,3.46,-54.96794,2021-10-28T05:19:39.845Z,0.00190227,81774.14623,2020-03-13T02:25:38.280Z,,2021-12-09T09:13:37.227Z,-0.8108075852097845,-3.3968445099379414,50.86727794246567,usd,5086.727794246567
gala,gala,Gala,https://assets.coingecko.com/coins/images/12493/large/GALA-COINGECKO.png?1600233435,0.521707,3934486517,46,26082123337.0,803961630.0,0.521006,0.450416,0.04908436,10.38554,377314468.0,10.60715,7542496572.319239,36309926138.4206,50000000000.0,0.824837,-36.90667,2021-11-26T01:03:48.731Z,0.00013475,386111.05917,2020-12-28T08:46:48.367Z,,2021-12-09T09:14:01.460Z,4.105903322466695,10.38553791691654,,,
compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02243024,3815307137,47,,7224761.0,0.02273567,0.02208902,1.195e-05,0.05332,7342959.0,0.19283,170457858148.084,170457858148.084,,0.058843,-61.92316,2020-10-21T11:24:27.820Z,0.00620705,260.97172,2021-03-04T08:11:37.438Z,,2021-12-09T09:13:35.794Z,-0.07072657370464391,0.05332059644865434,,,
magic-internet-money,mim,Magic Internet Money,https://assets.coingecko.com/coins/images/16786/large/mimlogopng.png?1624979612,0.998298,3712958520,48,,360114704.0,1.01,0.987603,-0.005527124946,-0.55061,-12328248.829985142,-0.33093,3719748141.24997,3719748141.24997,,1.04,-4.08211,2021-10-06T13:25:17.751Z,0.919196,8.63383,2021-12-04T05:29:56.806Z,,2021-12-09T09:14:36.244Z,-0.11490475020413801,-0.5506063217882398,,,
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,204.1,3684773700,50,,152483734.0,212.21,201.95,-7.524447795258,-3.55553,-131120959.21911001,-3.43618,18043149.4593914,,,542.33,-62.33582,2018-01-09T00:00:00.000Z,0.216177,94388.66924,2015-01-14T00:00:00.000Z,,2021-12-09T09:12:11.468Z,-0.014539782906332855,-3.5555261108371474,,,
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,0.741276,3683114510,49,7430360115.0,223635884.0,0.77722,0.682659,0.02097812,2.91242,130990102.0,3.68766,4956845231.0,10000000000.0,10000000000.0,2.84,-73.8029,2021-02-12T07:28:45.775Z,0.103254,620.93045,2020-12-17T21:28:41.332Z,,2021-12-09T09:14:25.813Z,-0.9063480379157024,2.9124211369042285,,,
klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,1.43,3644075740,51,,24853444.0,1.47,1.33,0.03904392,2.81101,77780613.0,2.18099,2551933234.8,,,4.34,-67.24881,2021-03-30T03:44:28.828Z,0.06044,2251.18357,2020-04-29T08:19:34.574Z,,2021-12-09T09:13:49.158Z,0.8345047705787536,2.8110073458319613,,,
leo-token,leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,3.64,3416901624,52,,980806.0,3.68,3.56,-0.033559884308,-0.9134,-39048490.83538818,-1.12989,939879933.9,985239504.0,,3.95,-8.05338,2021-05-14T13:54:31.192Z,0.799859,353.5062,2019-12-24T15:14:35.376Z,,2021-12-09T09:14:43.220Z,1.0117032919684954,-0.9133996962361347,,,
